title,artist,upc,platform,albumId,nbtracks,releasedDate,addedDate,url
Letters,"Chris Daniel",7316211652314,spotify,0BCSRk58Uie7zvtrRCaSpn,8,"2021-05-10 00:00","2022-09-01 14:21",https://open.spotify.com/album/0BCSRk58Uie7zvtrRCaSpn
"Three Dimensions Deep","Amber Mark",00602508362125,spotify,1S8KMYJE7raT6e6hfPRLUU,17,"2022-01-28 00:00","2022-01-31 14:44",https://open.spotify.com/album/1S8KMYJE7raT6e6hfPRLUU
"Born Again","The Notorious B.I.G.",786127302363,spotify,7zg9ZSOQtYLjWnvSawflg6,18,"1999-01-01 00:00","2021-10-04 13:46",https://open.spotify.com/album/7zg9ZSOQtYLjWnvSawflg6
HNDRXX,Future,886446604039,spotify,7K6OykPbezfgKgBufihn6X,19,"2017-07-27 00:00","2021-10-04 13:38",https://open.spotify.com/album/7K6OykPbezfgKgBufihn6X
"All Rise (Deluxe)","Gregory Porter",00602508620119,spotify,5jQuMxOb3r5BPmSDke93hy,16,"2020-08-28 00:00","2020-12-11 14:40",https://open.spotify.com/album/5jQuMxOb3r5BPmSDke93hy
"After Hours","The Weeknd",00602508924224,spotify,4yP0hdKOZPNshxUOjY0cZj,14,"2020-03-20 00:00","2020-05-09 12:27",https://open.spotify.com/album/4yP0hdKOZPNshxUOjY0cZj
"Creed II: The Album","Mike WiLL Made-It",00602577321153,spotify,7kSa9AwcDQ6ZUScaXxp8zP,15,"2018-11-16 00:00","2020-03-02 09:22",https://open.spotify.com/album/7kSa9AwcDQ6ZUScaXxp8zP
"Based On A T.R.U. Story (Deluxe)","2 Chainz",00602537127603,spotify,66PA49HFV9YsfQjUYv3xML,17,"2012-01-01 00:00","2020-01-10 11:43",https://open.spotify.com/album/66PA49HFV9YsfQjUYv3xML
Jaime,"Brittany Howard",00880882359355,spotify,6fbphjr9j57oxMB2bnhzUf,11,"2019-09-20 00:00","2019-12-06 13:19",https://open.spotify.com/album/6fbphjr9j57oxMB2bnhzUf
Evasion,CloZee,3760209412406,spotify,02WjzHywsggHWwMelWKFsp,10,"2018-10-05 00:00","2019-07-18 12:25",https://open.spotify.com/album/02WjzHywsggHWwMelWKFsp
"No.6 Collaborations Project","Ed Sheeran",190295384234,spotify,3oIFxDIo2fwuk4lwCmFZCx,15,"2019-07-12 00:00","2019-07-16 08:07",https://open.spotify.com/album/3oIFxDIo2fwuk4lwCmFZCx
"EMW II - The Ñuulest",Nix,859728500589,spotify,6HotE55dRNit9Li9PWiOt1,20,"2018-09-14 00:00","2019-06-06 16:43",https://open.spotify.com/album/6HotE55dRNit9Li9PWiOt1
"Nan Fon Bwa","Melissa Laveaux",886446817781,spotify,0BTfq5Wo8c6IG1XCntwtUn,1,"2017-10-27 00:00","2019-05-23 07:47",https://open.spotify.com/album/0BTfq5Wo8c6IG1XCntwtUn
"Another Summer of Love",GospelbeacH,095081019225,spotify,0FzgxDZugY7M4jUMw3n4J3,10,"2017-06-16 00:00","2019-05-23 07:47",https://open.spotify.com/album/0FzgxDZugY7M4jUMw3n4J3
"Big Part Of A Big Sun - EP",DeLaurentis,3700750929626,spotify,0RWJirLztg9JcLxYzMWLhk,5,"2018-04-13 00:00","2019-05-23 07:47",https://open.spotify.com/album/0RWJirLztg9JcLxYzMWLhk
"Another Side","Fingers Inc.",8718723088664,spotify,0h1OjjFTmWLJaRGLhOuNf7,12,"1988-01-01 00:00","2019-05-23 07:47",https://open.spotify.com/album/0h1OjjFTmWLJaRGLhOuNf7
"French Kiwi Juice",FKJ,3614973508257,spotify,0jJ7mMkCkTe7p9EJgSRxgi,12,"2017-03-02 00:00","2019-05-23 07:47",https://open.spotify.com/album/0jJ7mMkCkTe7p9EJgSRxgi
"Mountains of Gold","Various Artists",191404084854,spotify,0q9x7SAhIQCwcH190avpQa,1,"2017-09-08 00:00","2019-05-23 07:47",https://open.spotify.com/album/0q9x7SAhIQCwcH190avpQa
Droptopwop,"Gucci Mane",075679893833,spotify,0smWYh2nQsaZNonBGZpZMn,10,"2017-05-26 00:00","2019-05-23 07:47",https://open.spotify.com/album/0smWYh2nQsaZNonBGZpZMn
Revival,Eminem,00602567311874,spotify,15YmkgHUd5PAgvl1XI9SL5,19,"2017-12-15 00:00","2019-05-23 07:47",https://open.spotify.com/album/15YmkgHUd5PAgvl1XI9SL5
FUTURE,Future,886446597102,spotify,17FBoXK1NU2rvJBbzdzw0r,20,"2017-06-30 00:00","2019-05-23 07:47",https://open.spotify.com/album/17FBoXK1NU2rvJBbzdzw0r
Evergreen,Yebba,5060450064231,spotify,1OIV7ft41zjqFxMOD7I5Bw,1,"2017-10-27 00:00","2019-05-23 07:47",https://open.spotify.com/album/1OIV7ft41zjqFxMOD7I5Bw
"Murder Dull Mind","Amen Dunes",847108051196,spotify,1PifbeXBB5GIvXcbetck1e,7,"2010-07-27 00:00","2019-05-23 07:47",https://open.spotify.com/album/1PifbeXBB5GIvXcbetck1e
"The Beautiful & Damned",G-Eazy,886446765853,spotify,1VAc77UvK5wj8ZSWCo3V2b,20,"2017-12-15 00:00","2019-05-23 07:47",https://open.spotify.com/album/1VAc77UvK5wj8ZSWCo3V2b
"The Infamous","Mobb Deep",078636648026,spotify,1cCAb1vN8uUsdfEylVmTLs,16,"1995-04-25 00:00","2019-05-23 07:47",https://open.spotify.com/album/1cCAb1vN8uUsdfEylVmTLs
"Stubborn Persistent Illusions","Do Make Say Think",666561012069,spotify,1wrLF6seLRorRM7Khq6RJX,9,"2017-05-19 00:00","2019-05-23 07:47",https://open.spotify.com/album/1wrLF6seLRorRM7Khq6RJX
"The Optimist",Anathema,802644849263,spotify,2MXZ5iBdwsSzzlZszRZoTY,11,"2017-06-09 00:00","2019-05-23 07:47",https://open.spotify.com/album/2MXZ5iBdwsSzzlZszRZoTY
Lilies,"Melanie De Biasio",5414939963827,spotify,2VwI5gKEQOGZVnHdoyQPI1,9,"2017-10-06 00:00","2019-05-23 07:47",https://open.spotify.com/album/2VwI5gKEQOGZVnHdoyQPI1
"Sweet Lies (Featuring Sam Gray)","SOLANO, Sam Gray",00602557936162,spotify,2h7zE60RaZaoIcMYxZQdq8,1,"2017-08-11 00:00","2019-05-23 07:47",https://open.spotify.com/album/2h7zE60RaZaoIcMYxZQdq8
HEAVN,"Jamila Woods",656605231266,spotify,2ha1TUv0o6VnQddOci7GIb,20,"2017-08-15 00:00","2019-05-23 07:47",https://open.spotify.com/album/2ha1TUv0o6VnQddOci7GIb
"First Wave EP",Ycee,886446415185,spotify,2rkw6rJeQm30JWLc79qCJk,8,"2017-04-07 00:00","2019-05-23 07:47",https://open.spotify.com/album/2rkw6rJeQm30JWLc79qCJk
"Welcome To The Club","New Hope Club",00602557581133,spotify,2s4CZMy4HVnOv9LIw9L2z5,4,"2017-05-05 00:00","2019-05-23 07:47",https://open.spotify.com/album/2s4CZMy4HVnOv9LIw9L2z5
"World of Warcraft: Wrath of the Lich King Original Soundtrack","Various Artists",020626607117,spotify,36Dk0lgHLB8nfpaC8EvGiy,21,"2008-11-13 00:00","2019-05-23 07:47",https://open.spotify.com/album/36Dk0lgHLB8nfpaC8EvGiy
"H.E.R. Volume 2",H.E.R.,886446553108,spotify,3Bdtv2Y8lHrXOsboFA96hX,8,"2017-06-16 00:00","2019-05-23 07:47",https://open.spotify.com/album/3Bdtv2Y8lHrXOsboFA96hX
"1989 (Deluxe)","Taylor Swift",00602547066893,spotify,3GT1SFfrltwpfWM2FB7zV4,19,"2014-10-27 00:00","2019-05-23 07:47",https://open.spotify.com/album/3GT1SFfrltwpfWM2FB7zV4
"Stole the Show","Kygo, Parson James",886445569728,spotify,3SjuqBXx2U5mJJxks14TkK,2,"2016-05-16 00:00","2019-05-23 07:47",https://open.spotify.com/album/3SjuqBXx2U5mJJxks14TkK
"Ain't Nobody (Loves Me Better)","Felix Jaehn",00602547268792,spotify,3beitV4REkUMQn4BXZlD8F,1,"2015-03-03 00:00","2019-05-23 07:47",https://open.spotify.com/album/3beitV4REkUMQn4BXZlD8F
"The Study On Falling (Deluxe)","Asaf Avidan",00602567381020,spotify,3lug7EpnsI0N1AuZbxjt2t,13,"2018-01-26 00:00","2019-05-23 07:47",https://open.spotify.com/album/3lug7EpnsI0N1AuZbxjt2t
"Salón Lágrimas y Deseo","Lila Downs",886446472201,spotify,3z957l9ojCmtKtR4RQaKZy,14,"2017-05-26 00:00","2019-05-23 07:47",https://open.spotify.com/album/3z957l9ojCmtKtR4RQaKZy
Utopia,Darius,3614978288734,spotify,3zwsH959hsbzTH5tUOXnex,14,"2017-11-24 00:00","2019-05-23 07:47",https://open.spotify.com/album/3zwsH959hsbzTH5tUOXnex
"Two Fingers","Dan Caplen",190295697846,spotify,4PAkjtqLKym67RkqBHxTjP,1,"2017-12-06 00:00","2019-05-23 07:47",https://open.spotify.com/album/4PAkjtqLKym67RkqBHxTjP
"Sex Dreams And Denim Jeans",Uffie,5060107726840,spotify,4Zs0g2nVrNloMXMSqTVq0Z,15,"2010-06-14 00:00","2019-05-23 07:47",https://open.spotify.com/album/4Zs0g2nVrNloMXMSqTVq0Z
"Ellipsis (Deluxe)","Biffy Clyro",190295973230,spotify,4gSoMEnVL0sZlROP2bDVqd,13,"2016-01-13 00:00","2019-05-23 07:47",https://open.spotify.com/album/4gSoMEnVL0sZlROP2bDVqd
"Silicon Valley: The Soundtrack","Various Artists",886446598147,spotify,4ilJeyXm4YLMSiWi8vIWk1,15,"2017-06-23 00:00","2019-05-23 07:47",https://open.spotify.com/album/4ilJeyXm4YLMSiWi8vIWk1
Slowdive,Slowdive,656605143262,spotify,4nSWX5A4xVomzrOEGDKLQ6,8,"2017-05-05 00:00","2019-05-23 07:47",https://open.spotify.com/album/4nSWX5A4xVomzrOEGDKLQ6
"Perfect (Acoustic)","Ed Sheeran",190295710132,spotify,4uJ318DIOMiA4y9vg2dRwv,1,"2017-11-10 00:00","2019-05-23 07:47",https://open.spotify.com/album/4uJ318DIOMiA4y9vg2dRwv
Reclassified,"Iggy Azalea",00602547075987,spotify,4z4Pgh0fNUQkmGP4K1XxDb,12,"2014-10-01 00:00","2019-05-23 07:47",https://open.spotify.com/album/4z4Pgh0fNUQkmGP4K1XxDb
"Beautiful Thugger Girls","Young Thug",075679892409,spotify,51KZKzPd3OQT1r46a55VTt,14,"2017-06-16 00:00","2019-05-23 07:47",https://open.spotify.com/album/51KZKzPd3OQT1r46a55VTt
Rocket,"Alex G",887828039869,spotify,5Pq92omNLyQgGGrj2u4pur,14,"2017-05-19 00:00","2019-05-23 07:47",https://open.spotify.com/album/5Pq92omNLyQgGGrj2u4pur
"Culture II",Migos,00602567359807,spotify,5ZnasU3vhbAxJxUYNXeqOq,24,"2018-01-26 00:00","2019-05-23 07:47",https://open.spotify.com/album/5ZnasU3vhbAxJxUYNXeqOq
"Chemistry and Math",Flunk,859725550976,spotify,5fOpqEipSiEzhEWpyMYM8E,12,"2017-09-29 00:00","2019-05-23 07:47",https://open.spotify.com/album/5fOpqEipSiEzhEWpyMYM8E
"Colter Wall","Colter Wall",886446389035,spotify,63o3vkvtW2Cn8QMiuBN1vN,11,"2017-05-12 00:00","2019-05-23 07:47",https://open.spotify.com/album/63o3vkvtW2Cn8QMiuBN1vN
"All on My Mind","Anderson East",075679888808,spotify,6O0hXBm4fljPUez3tFSLJj,1,"2017-08-15 00:00","2019-05-23 07:47",https://open.spotify.com/album/6O0hXBm4fljPUez3tFSLJj
"Giving It All",Bondax,886444138482,spotify,6f7gkljkmnuHkIl6v8rbxX,1,"2013-09-20 00:00","2019-05-23 07:47",https://open.spotify.com/album/6f7gkljkmnuHkIl6v8rbxX
"Life Is Eazi, Vol. 1 - Accra To Lagos","Mr Eazi",5060450062350,spotify,6vvcUJ4tlCObKG1PARtRpZ,14,"2017-02-10 00:00","2019-05-23 07:47",https://open.spotify.com/album/6vvcUJ4tlCObKG1PARtRpZ
Ctrl,SZA,886446548418,spotify,76290XdXVF9rPzGdNRWdCh,14,"2017-06-09 00:00","2019-05-23 07:47",https://open.spotify.com/album/76290XdXVF9rPzGdNRWdCh
"Stay (feat. Maty Noyes)",Kygo,886445631463,spotify,7CUcBQ9e6MDpsdBzz7wJaT,1,"2015-12-04 00:00","2019-05-23 07:47",https://open.spotify.com/album/7CUcBQ9e6MDpsdBzz7wJaT
"No Shape","Perfume Genius",744861111351,spotify,7awgq3vvlsIeA7dZduR9x4,13,"2017-05-05 00:00","2019-05-23 07:47",https://open.spotify.com/album/7awgq3vvlsIeA7dZduR9x4
"True to Self","Bryson Tiller",886446346694,spotify,7nn2Iaphg0Vc1NCGULkhVo,19,"2017-05-26 00:00","2019-05-23 07:47",https://open.spotify.com/album/7nn2Iaphg0Vc1NCGULkhVo
"Crying in the Club","Camila Cabello",886446504209,spotify,7s5gKFHMzzMHyLE2KFXNkR,1,"2017-05-18 00:00","2019-05-23 07:47",https://open.spotify.com/album/7s5gKFHMzzMHyLE2KFXNkR
